id,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income
73990000,500000.0,HOUSE,TOWN_HOUSE,Brussels-Capital,Brussels,Brussels,1082,,,1990.0,235.0,0.0,2.0,3.0,USA_HYPER_EQUIPPED,0,0,1,13.0,1,70.0,0,0,AS_NEW,184.0,D,GAS,1,
65951000,279000.0,APARTMENT,DUPLEX,Wallonia,Liège,Liège,4920,50.4737898,5.6771763,1967.0,211.0,,3.0,6.0,INSTALLED,0,1,1,6.0,0,0.0,0,0,MISSING,328.0,D,FUELOIL,0,1459.0
34752000,475000.0,APARTMENT,APARTMENT,Flanders,East Flanders,Oudenaarde,9700,50.8410579,3.6131813,,170.0,,4.0,3.0,MISSING,0,0,1,19.0,0,0.0,0,1,GOOD,,MISSING,MISSING,0,
20854000,255000.0,HOUSE,HOUSE,Flanders,East Flanders,Gent,9050,51.0355607,3.7447702,1899.0,72.0,40.0,2.0,2.0,INSTALLED,0,0,0,0.0,0,0.0,0,0,TO_BE_DONE_UP,465.0,E,ELECTRIC,1,290.0
29243000,375000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Brugge,8000,51.2173838,3.206071,,75.0,,,2.0,MISSING,0,0,0,0.0,0,0.0,0,1,GOOD,0.0,MISSING,MISSING,0,
44054000,950000.0,HOUSE,COUNTRY_COTTAGE,Flanders,Flemish Brabant,Leuven,3360,50.8270471,4.7471454,,385.0,1995.0,4.0,4.0,USA_HYPER_EQUIPPED,0,0,1,70.0,0,0.0,0,0,AS_NEW,275.0,C,FUELOIL,1,1090.0
42465000,325000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2050,51.2331863,4.3835731,1973.0,107.0,,2.0,2.0,INSTALLED,0,0,1,15.0,0,0.0,0,1,MISSING,133.0,B,GAS,1,1271.0
59461000,355000.0,HOUSE,HOUSE,Wallonia,Luxembourg,Virton,6747,,,,160.0,496.0,3.0,3.0,INSTALLED,0,1,1,18.0,1,,0,1,MISSING,86.0,B,GAS,1,
64840000,160000.0,HOUSE,HOUSE,Flanders,Flemish Brabant,Leuven,3350,50.8424977,5.0287291,1930.0,132.0,188.0,3.0,3.0,MISSING,0,0,0,0.0,1,188.0,0,0,MISSING,727.0,F,ELECTRIC,1,178.0
788000,295000.0,APARTMENT,GROUND_FLOOR,Flanders,Antwerp,Antwerp,2390,51.2964553,4.6997264,2024.0,148.0,,,1.0,HYPER_EQUIPPED,0,0,0,0.0,1,148.0,0,0,AS_NEW,,A++,MISSING,1,
18345000,399500.0,HOUSE,HOUSE,Flanders,Limburg,Hasselt,3590,50.9184028,5.3867562,1979.0,214.0,1011.0,3.0,3.0,HYPER_EQUIPPED,0,0,1,,0,0.0,0,1,MISSING,234.0,C,GAS,1,1095.0
15134000,265000.0,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Leuven,3300,50.8095668,4.9364952,,89.0,,3.0,2.0,MISSING,0,1,0,0.0,0,0.0,0,0,JUST_RENOVATED,206.0,C,GAS,1,750.0
67169000,259500.0,HOUSE,HOUSE,Flanders,West Flanders,Roeselare,8800,50.9361335,3.116388,1930.0,124.0,384.0,,2.0,MISSING,0,0,0,0.0,0,0.0,0,0,MISSING,237.0,C,MISSING,1,
42505000,725000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Brugge,8000,51.2128572,3.2074152,,165.0,,,3.0,MISSING,0,0,0,0.0,0,0.0,0,1,MISSING,85.0,A++,MISSING,0,
13089000,1350000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Veurne,8620,51.1306105,2.7519677,,720.0,,,2.0,MISSING,0,0,0,0.0,0,0.0,0,0,MISSING,,MISSING,MISSING,1,
15510000,449000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Brugge,8300,51.3508016,3.2879157,1979.0,73.0,,2.0,2.0,HYPER_EQUIPPED,0,0,0,0.0,0,0.0,0,0,MISSING,128.0,B,GAS,1,
70594000,349000.0,HOUSE,MIXED_USE_BUILDING,Flanders,East Flanders,Oudenaarde,9660,50.814673,3.7695328,1971.0,606.0,1418.0,4.0,8.0,MISSING,0,0,1,,0,0.0,0,1,MISSING,986.0,E,GAS,1,1600.0
10087000,320000.0,APARTMENT,APARTMENT,Wallonia,Liège,Liège,4031,50.5953483,5.5701919,2023.0,100.0,,,2.0,MISSING,0,0,1,9.0,0,0.0,0,1,MISSING,,MISSING,MISSING,0,
